word	and	arch	bezhh	bezht	bud	cham	chamg	gin	gunz	hin	inh	kryz	lak	rutl	tsah	tsahg	tsahts	tsez
motok nitok	4	3	3	3	3	5	5	3	3	4	3	3	3	3	3	4	4	3
motyga	5	3	3	3	3	4	4	3	3	4	4	4	3	4	NA	NA	NA	3
mozg golovnoj	4	4	4	4	4	5	5	4	4	4	4	3	4	3	3	4	4	4
muha	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
muka	4	4	4	4	4	3	3	4	4	4	4	4	3	3	3	3	3	4
mul	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
muravej	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
mysh'	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
naperstok	5	3	3	3	4	3	3	2	3	3	3	3	3	3	3	3	3	3
nebo	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4
nitka	4	3	4	4	3	3	3	2	4	3	3	3	4	4 4	4	4	4	3
noch'	4	4	NA	NA	4	4	4	4	4	4	4	4	4	4 4	3	3	3	4
noga	5	4	5	5	4	4	4	4	5	3	NA	4	3	4	4	4	4	2
nogot'	5	3	5	3	3	5	5	3	5	3	5	3	3	3	3	3	3	2
nos	5	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	4	3
nosha	NA	4	3	3	3	4	4 3	3	4	4	3	3	4 4	4	3	3	3 4	3
nosha (b) vjazanka travy ili hvorosta	4	3	NA	NA	NA	NA	NA	NA	3	NA	NA	4	4	NA	3	3	3	NA
nosok vjazjanyj	5	4	4	4	4	3	3	4	4	4 4	4	4	4	4 4	4	4	4	4
nozh	5	4	4	4	4	3	3	4	4	3	4	4	4	4	4	4	4	4
nozhnitsy	4	4	4	4	4	PL	4	4	4	4	4	4	4	4	4	4	4	4
nozhny	5 5	3	4	4	4	3	4	3	3	4	4	4	4	4	4	4	4	4
oblako	4	NA	4	4	NA	3	3	4	4	NA	4	NA	NA	NA	NA	NA	NA	4
ochag	5	3	5	5	3	3	5	3	3	3	4	4	4	3	3	3	3	4
ogon'	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
ohapka	5	4	5	5	4	3	5	2 2	5	4	3	4	4	4	4	4	4	4
okno	5	4	4	4	4	4	4	2	4	3	4	4	3	3	4	4	4	4
olen'	3	3	3	3	3	3	3	3 3	3	3	3	3	3	3	NA	NA	NA	3
olovo	5	4	4	4	3	3	3	3	4	4	3	3	4	4	4	4	4	3
oreh	4	4	NA	NA	3	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA
oreh (gretskij)	NA	NA	3	3	NA	3	3	3	3	3	NA	3	4	NA	3	3	3	3
oreh (lesnoj)	NA	NA	3	4	NA	NA	NA	3	4	3	NA	4	4	3	3	3	3	3
osel	3	3	3 3	3 3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
osen'	NA	4	NA	NA	4	5	5	3	3	4	3	4	4	NA	4	4	4 4	3
oslenok	3	4	3	3 3	3	3	3	3	3	3 3	5	3	3	3	3	3	3	3
ost' (kolosa)	5	NA	4	4	3	5	5	NA	3	3 4	3	4	4	4	3	3	3	4
oves	5	3	4	4	4	3	3	4	NA	3	4	4	3	3	4	3	4	3
ovtsa molodaja (a) samka	3	NA	3	3	3	3	3	3	3	3	NA	3	3	3	3	3	3	3
ovtsa molodaja (b) samets	3	NA	3	3	3	NA	NA	NA	3	3	NA	3	NA	3	3	3	3	NA
ovtsa molodaja ot odnogo goda do 2-3 let	3	3 3 4	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA
ovtsa vzroslaja, ovtsematka	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
ovtsy, melkij rogatyj skot	PL	4	3	3	NA	4	4	3	3	3	4	3	PL	4	4	4	4	PL
palas	5 5	3	3	3	4	3	3	4	3	3	3	4 4 4	4	4 4	4 3 3	3 3 3 3	4 3 3 3	3
palets	5	3	3	3	4	3	3	3	3	NA	3	3	3	NA	3	3	3	3
palka	4	4	NA	NA	NA	4	4	3	4	NA	4	4	4	NA	4	4	4	NA
papaha	5	4	3	3	3	5	5	3	3	3	3	4	3	3	3	3	3	3
pauk	3	3	3	4	3	3	3	3	3	3	3	3	4	4	4 4	3	4	3
pchela	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
pech' glinjanaja dlja hleba	3	3	NA	NA	3	3	3	NA	3	4	NA	4 3	3	3	3 3	3 3	3 3	3
pechen'	4	4	3	3	4	5	4	3	3	3	3	4	4	4	4	4	4	3
pen'	5	NA 4	3	3	4	3	3	3	4	3	4	4	4	3	3	3	3	4
pena, puzyri na vode	5	3	3	3	4	3	3 4	3	3	4	3	4	4	4 3	4 4	4 4	4 4	3
pero	4	4	3	3	4	4	4	3	3	3	4	4	3	4	3	3	3	3
peschera	4	4	4	4	4	4	4	3	4	4	5	4 4	4	NA	4	3	4	2
pesnja	4	4	3	3	4	3	3	3	3	3	3	3	3	4	3	3	3	3
pesok	4	4	3	3	3	3	4	3	3	4	3	3	3	3	3	3	3	NA
petuh	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
petushinyj greben'	5	3	4	4	3	3	3	2	4	4 4	3	3	4	4	4	4	4	2
pijavka	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3
pila	5	3	3	3	4	3	3	4	3	4	4	4	4	3	3	3	3	4
pischevod	5	4	4	4	4	NA	3	3	4	4	3	4 3	4	3	3	4	3	4
pjad' bol'shaja	5	4	3	3	4	5	5	3	3	4	5	4	4	3	3	3	3	3
pjad' malaja	5	NA	NA	5	NA	5	5	2	3	NA	5	NA	4	3	NA	4	NA	3
pjatka	5	3	5	5	4	3	3	3	5	3	3	3	3	3	3	3	3	3
platok zhenskij	4	3 3 3	4	4	3 4 4	4 4	4 4	4 4	4	4 4	3 3	4	4 4	3	3	3	3	4 4
plecho	5	4	5	5	4	5 3	3	4	5	3	3	3	4	4	3	3	3	3
